survived,sex,age, fare ,class,SEX TYPE,EMBARK TOWN 
1,female,3, $41.58 ,Second,child,Cherbourg
1,female,19, $7.88 ,Third,woman,Queenstown
0,male,, $8.05 ,Third,man,Southampton
0,male,, $15.50 ,Third,man,Queenstown
1,female,, $7.75 ,Third,woman,Queenstown
0,male,, $21.68 ,Third,man,Cherbourg
0,female,18, $17.80 ,Third,woman,Southampton
0,male,7, $39.69 ,Third,child,Southampton
0,male,21, $7.80 ,Third,man,Southampton
1,female,49, $76.73 ,First,woman,Cherbourg
1,female,29, $26.00 ,Second,woman,Southampton
0,male,65, $61.98 ,First,man,Cherbourg
1,male,, $35.50 ,First,man,Southampton
1,female,21, $10.50 ,Second,woman,Southampton
0,male,28.5, $7.23 ,Third,man,Cherbourg
1,female,5, $27.75 ,Second,child,Southampton
0,male,11, $46.90 ,Third,child,Southampton
0,male,22, $7.23 ,Third,man,Cherbourg
1,female,38, $80.00 ,First,woman,
0,male,45, $83.48 ,First,man,Southampton
0,male,4, $27.90 ,Third,child,Southampton
0,male,, $27.72 ,First,man,Cherbourg
1,male,, $15.25 ,Third,man,Cherbourg
1,female,29, $10.50 ,Second,woman,Southampton
0,male,19, $8.16 ,Third,man,Southampton
1,female,17, $7.93 ,Third,woman,Southampton
0,male,26, $8.66 ,Third,man,Southampton
0,male,32, $10.50 ,Second,man,Southampton
0,female,16, $46.90 ,Third,woman,Southampton
0,male,21, $73.50 ,Second,man,Southampton
0,male,26, $14.45 ,Third,man,Cherbourg
1,male,32, $56.50 ,Third,man,Southampton
0,male,25, $7.65 ,Third,man,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
1,male,0.83, $29.00 ,Second,child,Southampton
1,female,30, $12.48 ,Third,woman,Southampton
0,male,22, $9.00 ,Third,man,Southampton
1,male,29, $9.50 ,Third,man,Southampton
1,female,, $7.79 ,Third,woman,Queenstown
0,male,28, $47.10 ,First,man,Southampton
1,female,17, $10.50 ,Second,woman,Southampton
1,female,33, $15.85 ,Third,woman,Southampton
0,male,16, $34.38 ,Third,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
1,female,23, $263.00 ,First,woman,Southampton
0,male,24, $8.05 ,Third,man,Southampton
0,male,29, $8.05 ,Third,man,Southampton
0,male,20, $7.85 ,Third,man,Southampton
0,male,46, $61.18 ,First,man,Southampton
0,male,26, $20.58 ,Third,man,Southampton
0,male,59, $7.25 ,Third,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
0,male,71, $34.65 ,First,man,Cherbourg
1,male,23, $63.36 ,First,man,Cherbourg
1,female,34, $23.00 ,Second,woman,Southampton
0,male,34, $26.00 ,Second,man,Southampton
0,female,28, $7.90 ,Third,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,21, $77.29 ,First,man,Southampton
0,male,33, $8.65 ,Third,man,Southampton
0,male,37, $7.93 ,Third,man,Southampton
0,male,28, $7.90 ,Third,man,Southampton
1,female,21, $7.65 ,Third,woman,Southampton
1,male,, $7.78 ,Third,man,Southampton
0,male,38, $7.90 ,Third,man,Southampton
1,female,, $24.15 ,Third,woman,Queenstown
0,male,47, $52.00 ,First,man,Southampton
0,female,14.5, $14.45 ,Third,child,Cherbourg
0,male,22, $8.05 ,Third,man,Southampton
0,female,20, $9.83 ,Third,woman,Southampton
0,female,17, $14.46 ,Third,woman,Cherbourg
0,male,21, $7.93 ,Third,man,Southampton
0,male,70.5, $7.75 ,Third,man,Queenstown
0,male,29, $21.00 ,Second,man,Southampton
0,male,24, $247.52 ,First,man,Cherbourg
0,female,2, $31.28 ,Third,child,Southampton
0,male,21, $73.50 ,Second,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
0,male,32.5, $30.07 ,Second,man,Cherbourg
1,female,32.5, $13.00 ,Second,woman,Southampton
0,male,54, $77.29 ,First,man,Southampton
1,male,12, $11.24 ,Third,child,Cherbourg
0,male,, $7.75 ,Third,man,Queenstown
1,male,24, $7.14 ,Third,man,Southampton
1,female,, $22.36 ,Third,woman,Cherbourg
0,male,45, $6.98 ,Third,man,Southampton
0,male,33, $7.90 ,Third,man,Cherbourg
0,male,20, $7.05 ,Third,man,Southampton
0,female,47, $14.50 ,Third,woman,Southampton
1,female,29, $26.00 ,Second,woman,Southampton
0,male,25, $13.00 ,Second,man,Southampton
0,male,23, $15.05 ,Second,man,Cherbourg
1,female,19, $26.28 ,First,woman,Southampton
0,male,37, $53.10 ,First,man,Southampton
0,male,16, $9.22 ,Third,man,Southampton
0,male,24, $79.20 ,First,man,Cherbourg
0,female,, $15.25 ,Third,woman,Cherbourg
1,female,22, $7.75 ,Third,woman,Southampton
1,female,24, $15.85 ,Third,woman,Southampton
0,male,19, $6.75 ,Third,man,Queenstown
0,male,18, $11.50 ,Second,man,Southampton
0,male,19, $36.75 ,Second,man,Southampton
1,male,27, $7.80 ,Third,man,Southampton
0,female,9, $34.38 ,Third,child,Southampton
0,male,36.5, $26.00 ,Second,man,Southampton
0,male,42, $13.00 ,Second,man,Southampton
0,male,51, $12.53 ,Second,man,Southampton
1,female,22, $66.60 ,First,woman,Southampton
0,male,55.5, $8.05 ,Third,man,Southampton
0,male,40.5, $14.50 ,Third,man,Southampton
0,male,, $7.31 ,Third,man,Southampton
0,male,51, $61.38 ,First,man,Cherbourg
1,female,16, $7.73 ,Third,woman,Queenstown
0,male,30, $8.05 ,Third,man,Southampton
0,male,, $8.66 ,Third,man,Southampton
0,male,, $69.55 ,Third,man,Southampton
0,male,44, $16.10 ,Third,man,Southampton
1,female,40, $15.75 ,Second,woman,Southampton
0,male,26, $7.78 ,Third,man,Southampton
0,male,17, $8.66 ,Third,man,Southampton
0,male,1, $39.69 ,Third,child,Southampton
1,male,9, $20.53 ,Third,child,Southampton
1,female,, $55.00 ,First,woman,Southampton
0,female,45, $27.90 ,Third,woman,Southampton
0,male,, $25.93 ,First,man,Southampton
0,male,28, $56.50 ,Third,man,Southampton
0,male,61, $33.50 ,First,man,Southampton
0,male,4, $29.13 ,Third,child,Queenstown
1,female,1, $11.13 ,Third,child,Southampton
0,male,21, $7.93 ,Third,man,Southampton
0,male,56, $30.70 ,First,man,Cherbourg
0,male,18, $7.85 ,Third,man,Southampton
0,male,, $25.47 ,Third,man,Southampton
0,female,50, $28.71 ,First,woman,Cherbourg
0,male,30, $13.00 ,Second,man,Southampton
0,male,36, $-   ,Third,man,Southampton
0,female,, $69.55 ,Third,woman,Southampton
0,male,, $15.05 ,Second,man,Cherbourg
0,male,9, $31.39 ,Third,child,Southampton
1,male,1, $39.00 ,Second,child,Southampton
1,female,4, $22.03 ,Third,child,Southampton
0,male,, $50.00 ,First,man,Southampton
1,female,, $15.50 ,Third,woman,Queenstown
1,male,45, $26.55 ,First,man,Southampton
0,male,40, $15.50 ,Third,man,Queenstown
0,male,36, $7.90 ,Third,man,Southampton
1,female,32, $13.00 ,Second,woman,Southampton
0,male,19, $13.00 ,Second,man,Southampton
1,female,19, $7.85 ,Third,woman,Southampton
1,male,3, $26.00 ,Second,child,Southampton
1,female,44, $27.72 ,First,woman,Cherbourg
1,female,58, $146.52 ,First,woman,Cherbourg
0,male,, $7.75 ,Third,man,Queenstown
0,male,42, $8.40 ,Third,man,Southampton
1,female,, $7.75 ,Third,woman,Queenstown
0,female,24, $13.00 ,Second,woman,Southampton
0,male,28, $9.50 ,Third,man,Southampton
0,male,, $69.55 ,Third,man,Southampton
0,male,34, $6.50 ,Third,man,Southampton
0,male,45.5, $7.23 ,Third,man,Cherbourg
1,male,18, $8.05 ,Third,man,Southampton
0,female,2, $10.46 ,Third,child,Southampton
0,male,32, $15.85 ,Third,man,Southampton
1,male,26, $18.79 ,Third,man,Cherbourg
1,female,16, $7.75 ,Third,woman,Queenstown
1,male,40, $31.00 ,First,man,Cherbourg
0,male,24, $7.05 ,Third,man,Southampton
1,female,35, $21.00 ,Second,woman,Southampton
0,male,22, $7.25 ,Third,man,Southampton
0,male,30, $13.00 ,Second,man,Southampton
0,male,, $7.75 ,Third,man,Queenstown
1,female,31, $113.28 ,First,woman,Cherbourg
1,female,27, $7.93 ,Third,woman,Southampton
0,male,42, $27.00 ,Second,man,Southampton
1,female,32, $76.29 ,First,woman,Cherbourg
0,male,30, $10.50 ,Second,man,Southampton
1,male,16, $8.05 ,Third,man,Southampton
0,male,27, $13.00 ,Second,man,Southampton
0,male,51, $8.05 ,Third,man,Southampton
0,male,, $7.90 ,Third,man,Southampton
1,male,38, $90.00 ,First,man,Southampton
0,male,22, $9.35 ,Third,man,Southampton
1,male,19, $10.50 ,Second,man,Southampton
0,male,20.5, $7.25 ,Third,man,Southampton
0,male,18, $13.00 ,Second,man,Southampton
0,female,, $25.47 ,Third,woman,Southampton
1,female,35, $83.48 ,First,woman,Southampton
0,male,29, $7.78 ,Third,man,Southampton
0,male,59, $13.50 ,Second,man,Southampton
1,female,5, $31.39 ,Third,child,Southampton
0,male,24, $10.50 ,Second,man,Southampton
0,female,, $7.55 ,Third,woman,Southampton
0,male,44, $26.00 ,Second,man,Southampton
1,female,8, $26.25 ,Second,child,Southampton
0,male,19, $10.50 ,Second,man,Southampton
0,male,33, $12.28 ,Second,man,Southampton
0,female,, $14.45 ,Third,woman,Cherbourg
1,female,, $15.50 ,Third,woman,Queenstown
0,male,29, $10.50 ,Second,man,Southampton
0,male,22, $7.13 ,Third,man,Southampton
0,male,30, $7.23 ,Third,man,Cherbourg
0,male,44, $90.00 ,First,man,Queenstown
0,female,25, $7.78 ,Third,woman,Southampton
1,female,24, $14.50 ,Second,woman,Southampton
1,male,37, $52.55 ,First,man,Southampton
0,male,54, $26.00 ,Second,man,Southampton
0,male,, $7.25 ,Third,man,Southampton
0,female,29, $10.46 ,Third,woman,Southampton
0,male,62, $26.55 ,First,man,Southampton
0,male,30, $16.10 ,Third,man,Southampton
0,female,41, $20.21 ,Third,woman,Southampton
1,female,29, $15.25 ,Third,woman,Cherbourg
1,female,, $79.20 ,First,woman,Cherbourg
1,female,30, $86.50 ,First,woman,Southampton
1,female,35, $512.33 ,First,woman,Cherbourg
1,female,50, $26.00 ,Second,woman,Southampton
0,male,, $7.75 ,Third,man,Queenstown
1,male,3, $31.39 ,Third,child,Southampton
0,male,52, $79.65 ,First,man,Southampton
0,male,40, $-   ,First,man,Southampton
0,female,, $7.75 ,Third,woman,Queenstown
0,male,36, $10.50 ,Second,man,Southampton
0,male,16, $39.69 ,Third,man,Southampton
1,male,25, $7.78 ,Third,man,Southampton
1,female,58, $153.46 ,First,woman,Southampton
1,female,35, $135.63 ,First,woman,Southampton
0,male,, $31.00 ,First,man,Southampton
1,male,25, $-   ,Third,man,Southampton
1,female,41, $19.50 ,Second,woman,Southampton
0,male,37, $29.70 ,First,man,Cherbourg
1,female,, $7.75 ,Third,woman,Queenstown
1,female,63, $77.96 ,First,woman,Southampton
0,female,45, $7.75 ,Third,woman,Southampton
0,male,, $-   ,Second,man,Southampton
0,male,7, $29.13 ,Third,child,Queenstown
1,female,35, $20.25 ,Third,woman,Southampton
0,male,65, $7.75 ,Third,man,Queenstown
0,male,28, $7.85 ,Third,man,Southampton
0,male,16, $9.50 ,Third,man,Southampton
1,male,19, $8.05 ,Third,man,Southampton
0,male,, $26.00 ,First,man,Southampton
0,male,33, $8.66 ,Third,man,Cherbourg
1,male,30, $9.50 ,Third,man,Southampton
0,male,22, $7.90 ,Third,man,Southampton
1,male,42, $13.00 ,Second,man,Southampton
1,female,22, $7.75 ,Third,woman,Queenstown
1,female,26, $78.85 ,First,woman,Southampton
1,female,19, $91.08 ,First,woman,Cherbourg
0,male,36, $12.88 ,Second,man,Cherbourg
0,female,24, $8.85 ,Third,woman,Southampton
0,male,24, $7.90 ,Third,man,Southampton
0,male,, $27.72 ,First,man,Cherbourg
0,male,23.5, $7.23 ,Third,man,Cherbourg
0,female,2, $151.55 ,First,child,Southampton
1,male,, $30.50 ,First,man,Southampton
1,female,50, $247.52 ,First,woman,Cherbourg
1,female,, $7.75 ,Third,woman,Queenstown
1,male,, $23.25 ,Third,man,Queenstown
0,male,19, $-   ,Third,man,Southampton
1,female,, $12.35 ,Second,woman,Queenstown
0,male,, $8.05 ,Third,man,Southampton
1,male,0.92, $151.55 ,First,child,Southampton
1,female,, $110.88 ,First,woman,Cherbourg
1,female,17, $108.90 ,First,woman,Cherbourg
0,male,30, $24.00 ,Second,man,Cherbourg
1,female,30, $56.93 ,First,woman,Cherbourg
1,female,24, $83.16 ,First,woman,Cherbourg
1,female,18, $262.38 ,First,woman,Cherbourg
0,female,26, $26.00 ,Second,woman,Southampton
0,male,28, $7.90 ,Third,man,Southampton
0,male,43, $26.25 ,Second,man,Southampton
1,female,26, $7.85 ,Third,woman,Southampton
1,female,24, $26.00 ,Second,woman,Southampton
0,male,54, $14.00 ,Second,man,Southampton
1,female,31, $164.87 ,First,woman,Southampton
1,female,40, $134.50 ,First,woman,Cherbourg
0,male,22, $7.25 ,Third,man,Southampton
0,male,27, $7.90 ,Third,man,Southampton
1,female,30, $12.35 ,Second,woman,Queenstown
1,female,22, $29.00 ,Second,woman,Southampton
0,male,, $69.55 ,Third,man,Southampton
1,female,36, $135.63 ,First,woman,Cherbourg
0,male,61, $6.24 ,Third,man,Southampton
1,female,36, $13.00 ,Second,woman,Southampton
1,female,31, $20.53 ,Third,woman,Southampton
1,female,16, $57.98 ,First,woman,Cherbourg
1,female,, $23.25 ,Third,woman,Queenstown
0,male,45.5, $28.50 ,First,man,Southampton
0,male,38, $153.46 ,First,man,Southampton
0,male,16, $18.00 ,Third,man,Southampton
1,female,, $133.65 ,First,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,29, $66.60 ,First,man,Southampton
1,female,41, $134.50 ,First,woman,Cherbourg
1,male,45, $8.05 ,Third,man,Southampton
0,male,45, $35.50 ,First,man,Southampton
1,male,2, $26.00 ,Second,child,Southampton
1,female,24, $263.00 ,First,woman,Southampton
0,male,28, $13.00 ,Second,man,Southampton
0,male,25, $13.00 ,Second,man,Southampton
0,male,36, $13.00 ,Second,man,Southampton
1,female,24, $13.00 ,Second,woman,Southampton
1,female,40, $13.00 ,Second,woman,Southampton
1,female,, $16.10 ,Third,woman,Southampton
1,male,3, $15.90 ,Third,child,Southampton
0,male,42, $8.66 ,Third,man,Southampton
0,male,23, $9.23 ,Third,man,Southampton
0,male,, $35.00 ,First,man,Southampton
0,male,15, $7.23 ,Third,child,Cherbourg
0,male,25, $17.80 ,Third,man,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
0,male,28, $9.50 ,Third,man,Southampton
1,female,22, $55.00 ,First,woman,Southampton
0,female,38, $13.00 ,Second,woman,Southampton
1,female,, $7.88 ,Third,woman,Queenstown
1,female,, $7.88 ,Third,woman,Queenstown
0,male,40, $27.90 ,Third,man,Southampton
0,male,29, $27.72 ,Second,man,Cherbourg
0,female,45, $14.45 ,Third,woman,Cherbourg
0,male,35, $7.05 ,Third,man,Southampton
0,male,, $15.50 ,Third,man,Queenstown
0,male,30, $7.25 ,Third,man,Southampton
1,female,60, $75.25 ,First,woman,Cherbourg
1,female,, $7.23 ,Third,woman,Cherbourg
1,female,, $7.75 ,Third,woman,Queenstown
1,female,24, $69.30 ,First,woman,Cherbourg
1,male,25, $55.44 ,First,man,Cherbourg
0,male,18, $6.50 ,Third,man,Southampton
0,male,19, $8.05 ,Third,man,Southampton
0,male,22, $135.63 ,First,man,Cherbourg
0,female,3, $21.08 ,Third,child,Southampton
1,female,, $82.17 ,First,woman,Cherbourg
1,female,22, $7.25 ,Third,woman,Southampton
0,male,27, $211.50 ,First,man,Cherbourg
0,male,20, $4.01 ,Third,man,Cherbourg
0,male,19, $7.78 ,Third,man,Southampton
1,female,42, $227.53 ,First,woman,Cherbourg
1,female,1, $15.74 ,Third,child,Cherbourg
0,male,32, $7.93 ,Third,man,Southampton
1,female,35, $52.00 ,First,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,18, $73.50 ,Second,man,Southampton
0,male,1, $46.90 ,Third,child,Southampton
1,female,36, $13.00 ,Second,woman,Southampton
0,male,, $7.73 ,Third,man,Queenstown
1,female,17, $12.00 ,Second,woman,Cherbourg
1,male,36, $120.00 ,First,man,Southampton
1,male,21, $7.80 ,Third,man,Southampton
0,male,28, $7.93 ,Third,man,Southampton
1,female,23, $113.28 ,First,woman,Cherbourg
1,female,24, $16.70 ,Third,woman,Southampton
0,male,22, $7.80 ,Third,man,Southampton
0,female,31, $7.85 ,Third,woman,Southampton
0,male,46, $26.00 ,Second,man,Southampton
0,male,23, $10.50 ,Second,man,Southampton
1,female,28, $12.65 ,Second,woman,Southampton
1,male,39, $7.93 ,Third,man,Southampton
0,male,26, $8.05 ,Third,man,Southampton
0,female,21, $9.83 ,Third,woman,Southampton
0,male,28, $15.85 ,Third,man,Southampton
0,female,20, $8.66 ,Third,woman,Southampton
0,male,34, $21.00 ,Second,man,Southampton
0,male,51, $7.75 ,Third,man,Southampton
1,male,3, $18.75 ,Second,child,Southampton
0,male,21, $7.78 ,Third,man,Southampton
0,female,, $25.47 ,Third,woman,Southampton
0,male,, $7.90 ,Third,man,Southampton
0,male,, $6.86 ,Third,man,Queenstown
1,female,33, $90.00 ,First,woman,Queenstown
0,male,, $-   ,Second,man,Southampton
1,male,44, $7.93 ,Third,man,Southampton
0,female,, $8.05 ,Third,woman,Southampton
1,female,34, $32.50 ,Second,woman,Southampton
1,female,18, $13.00 ,Second,woman,Southampton
0,male,30, $13.00 ,Second,man,Southampton
0,female,10, $24.15 ,Third,child,Southampton
0,male,, $7.90 ,Third,man,Cherbourg
0,male,21, $7.73 ,Third,man,Queenstown
0,male,29, $7.88 ,Third,man,Southampton
0,female,28, $14.40 ,Third,woman,Southampton
0,male,18, $20.21 ,Third,man,Southampton
0,male,, $7.25 ,Third,man,Southampton
1,female,28, $26.00 ,Second,woman,Southampton
1,female,19, $26.00 ,Second,woman,Southampton
0,male,, $7.75 ,Third,man,Queenstown
1,male,32, $8.05 ,Third,man,Southampton
1,male,28, $26.55 ,First,man,Southampton
1,female,, $16.10 ,Third,woman,Southampton
1,female,42, $26.00 ,Second,woman,Southampton
0,male,17, $7.13 ,Third,man,Southampton
0,male,50, $55.90 ,First,man,Southampton
1,female,14, $120.00 ,First,child,Southampton
0,female,21, $34.38 ,Third,woman,Southampton
1,female,24, $18.75 ,Second,woman,Southampton
0,male,64, $263.00 ,First,man,Southampton
0,male,31, $10.50 ,Second,man,Southampton
1,female,45, $26.25 ,Second,woman,Southampton
0,male,20, $9.50 ,Third,man,Southampton
0,male,25, $7.78 ,Third,man,Southampton
1,female,28, $13.00 ,Second,woman,Southampton
1,male,, $8.11 ,Third,man,Southampton
1,male,4, $81.86 ,First,child,Southampton
1,female,13, $19.50 ,Second,child,Southampton
1,male,34, $26.55 ,First,man,Southampton
1,female,5, $19.26 ,Third,child,Cherbourg
1,male,52, $30.50 ,First,man,Southampton
0,male,36, $27.75 ,Second,man,Southampton
0,male,, $19.97 ,Third,man,Southampton
0,male,30, $27.75 ,First,man,Cherbourg
1,male,49, $89.10 ,First,man,Cherbourg
0,male,, $8.05 ,Third,man,Southampton
1,male,29, $7.90 ,Third,man,Cherbourg
0,male,65, $26.55 ,First,man,Southampton
1,female,, $51.86 ,First,woman,Southampton
1,female,50, $10.50 ,Second,woman,Southampton
0,male,, $7.75 ,Third,man,Queenstown
1,male,48, $26.55 ,First,man,Southampton
0,male,34, $8.05 ,Third,man,Southampton
0,male,47, $38.50 ,First,man,Southampton
0,male,48, $13.00 ,Second,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
0,male,38, $7.05 ,Third,man,Southampton
0,male,, $-   ,Second,man,Southampton
0,male,56, $26.55 ,First,man,Southampton
0,male,, $7.73 ,Third,man,Queenstown
1,female,0.75, $19.26 ,Third,child,Cherbourg
0,male,, $7.25 ,Third,man,Southampton
0,male,38, $8.66 ,Third,man,Southampton
1,female,33, $27.75 ,Second,woman,Southampton
1,female,23, $13.79 ,Second,woman,Cherbourg
0,female,22, $9.84 ,Third,woman,Southampton
0,male,, $52.00 ,First,man,Southampton
0,male,34, $21.00 ,Second,man,Southampton
0,male,29, $7.05 ,Third,man,Southampton
0,male,22, $7.52 ,Third,man,Southampton
1,female,2, $12.29 ,Third,child,Southampton
0,male,9, $46.90 ,Third,child,Southampton
0,male,, $-   ,Second,man,Southampton
0,male,50, $8.05 ,Third,man,Southampton
1,female,63, $9.59 ,Third,woman,Southampton
1,male,25, $91.08 ,First,man,Cherbourg
0,female,, $25.47 ,Third,woman,Southampton
1,female,35, $90.00 ,First,woman,Southampton
0,male,58, $29.70 ,First,man,Cherbourg
0,male,30, $8.05 ,Third,man,Southampton
1,male,9, $15.90 ,Third,child,Southampton
0,male,, $19.97 ,Third,man,Southampton
0,male,21, $7.25 ,Third,man,Southampton
0,male,55, $30.50 ,First,man,Southampton
0,male,71, $49.50 ,First,man,Cherbourg
0,male,21, $8.05 ,Third,man,Southampton
0,male,, $14.46 ,Third,man,Cherbourg
1,female,54, $78.27 ,First,woman,Cherbourg
0,male,, $15.10 ,Third,man,Southampton
0,female,25, $151.55 ,First,woman,Southampton
0,male,24, $7.80 ,Third,man,Southampton
0,male,17, $8.66 ,Third,man,Southampton
0,female,21, $7.75 ,Third,woman,Queenstown
0,female,, $7.63 ,Third,woman,Queenstown
0,female,37, $9.59 ,Third,woman,Southampton
1,female,16, $86.50 ,First,woman,Southampton
0,male,18, $108.90 ,First,man,Cherbourg
1,female,33, $26.00 ,Second,woman,Southampton
1,male,, $26.55 ,First,man,Southampton
0,male,28, $22.53 ,Third,man,Southampton
1,male,26, $56.50 ,Third,man,Southampton
1,male,29, $7.75 ,Third,man,Queenstown
0,male,, $8.05 ,Third,man,Southampton
1,male,36, $26.29 ,First,man,Southampton
1,female,54, $59.40 ,First,woman,Cherbourg
0,male,24, $7.50 ,Third,man,Southampton
0,male,47, $34.02 ,First,man,Southampton
1,female,34, $10.50 ,Second,woman,Southampton
0,male,, $24.15 ,Third,man,Queenstown
1,female,36, $26.00 ,Second,woman,Southampton
0,male,32, $7.90 ,Third,man,Southampton
1,female,30, $93.50 ,First,woman,Southampton
0,male,22, $7.90 ,Third,man,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
1,female,44, $57.98 ,First,woman,Cherbourg
0,male,, $7.23 ,Third,man,Cherbourg
0,male,40.5, $7.75 ,Third,man,Queenstown
1,female,50, $10.50 ,Second,woman,Southampton
0,male,, $221.78 ,First,man,Southampton
0,male,39, $7.93 ,Third,man,Southampton
0,male,23, $11.50 ,Second,man,Southampton
1,female,2, $26.00 ,Second,child,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
0,male,17, $7.23 ,Third,man,Cherbourg
1,female,, $22.36 ,Third,woman,Cherbourg
0,female,30, $8.66 ,Third,woman,Southampton
1,female,7, $26.25 ,Second,child,Southampton
0,male,45, $26.55 ,First,man,Southampton
1,female,30, $106.43 ,First,woman,Cherbourg
0,male,, $14.50 ,Third,man,Southampton
1,female,22, $49.50 ,First,woman,Cherbourg
1,female,36, $71.00 ,First,woman,Southampton
0,female,9, $31.28 ,Third,child,Southampton
0,female,11, $31.28 ,Third,child,Southampton
1,male,32, $26.00 ,Second,man,Southampton
0,male,50, $106.43 ,First,man,Cherbourg
0,male,64, $26.00 ,First,man,Southampton
1,female,19, $26.00 ,Second,woman,Southampton
1,male,, $13.86 ,Second,man,Cherbourg
0,male,33, $20.53 ,Third,man,Southampton
1,male,8, $36.75 ,Second,child,Southampton
1,male,17, $110.88 ,First,man,Cherbourg
0,male,27, $26.00 ,Second,man,Southampton
0,male,, $7.83 ,Third,man,Queenstown
1,male,22, $7.23 ,Third,man,Cherbourg
1,female,22, $7.78 ,Third,woman,Southampton
0,male,62, $26.55 ,First,man,Southampton
1,female,48, $39.60 ,First,woman,Cherbourg
0,male,, $227.53 ,First,man,Cherbourg
1,female,39, $79.65 ,First,woman,Southampton
1,female,36, $17.40 ,Third,woman,Southampton
0,male,, $7.75 ,Third,man,Queenstown
0,male,40, $7.90 ,Third,man,Southampton
0,male,28, $13.50 ,Second,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
0,female,, $8.05 ,Third,woman,Southampton
0,male,24, $24.15 ,Third,man,Southampton
0,male,19, $7.90 ,Third,man,Southampton
0,female,29, $21.08 ,Third,woman,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
1,male,32, $7.85 ,Third,man,Southampton
1,male,62, $10.50 ,Second,man,Southampton
1,female,53, $51.48 ,First,woman,Southampton
1,male,36, $26.39 ,First,man,Southampton
1,female,, $7.75 ,Third,woman,Queenstown
0,male,16, $8.05 ,Third,man,Southampton
0,male,19, $14.50 ,Third,man,Southampton
1,female,34, $13.00 ,Second,woman,Southampton
1,female,39, $55.90 ,First,woman,Southampton
0,female,, $14.46 ,Third,woman,Cherbourg
1,male,32, $7.93 ,Third,man,Southampton
1,female,25, $30.00 ,Second,woman,Southampton
1,female,39, $110.88 ,First,woman,Cherbourg
0,male,54, $26.00 ,Second,man,Southampton
0,male,36, $40.13 ,First,man,Cherbourg
0,male,, $8.71 ,Third,man,Cherbourg
1,female,18, $79.65 ,First,woman,Southampton
0,male,47, $15.00 ,Second,man,Southampton
1,male,60, $79.20 ,First,man,Cherbourg
0,male,22, $8.05 ,Third,man,Southampton
0,male,, $8.05 ,Third,man,Southampton
0,male,35, $7.13 ,Third,man,Southampton
1,female,52, $78.27 ,First,woman,Cherbourg
0,male,47, $7.25 ,Third,man,Southampton
0,female,, $7.75 ,Third,woman,Queenstown
0,male,37, $26.00 ,Second,man,Southampton
0,male,36, $24.15 ,Third,man,Southampton
